accession_version	Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset	full_minor	region	location	host_common_name	host_latin_name	submitters	collection_year
PP737618.1																	Asia			Canis lupus familiaris	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Bhalke,P.S.,Ananda,A.M.,Isloor,S.,Mani,R.S.	2023
PP737617.1																	Asia			Bos taurus	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Bhalke,P.S.,Ananda,A.M.,Isloor,S.,Mani,R.S.	2023
PP737616.1																	Asia			Canis lupus familiaris	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Bhalke,P.S.,Ananda,A.M.,Isloor,S.,Mani,R.S.	2023
PP737615.1																	Asia			Bos taurus	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Bhalke,P.S.,Ananda,A.M.,Isloor,S.,Mani,R.S.	2023
PP695293.1																	Asia			Canis lupus familiaris	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695292.1																	Asia			Canis lupus familiaris	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695291.1																	Asia			Canis lupus familiaris	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695290.1																	Asia			Canis lupus familiaris	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695289.1																	Asia			Bos taurus	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695288.1																	Asia			Canis lupus familiaris	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695287.1																	Asia			Canis lupus familiaris	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695286.1																	Asia			Canis lupus familiaris	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695285.1																	Asia			Canis lupus familiaris	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695284.1																	Asia			Canis lupus familiaris	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695283.1																	Asia			Canis lupus familiaris	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695282.1																	Asia			Bos taurus	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP695281.1																	Asia			Canidae	Varun,C.N.,Dhanya,K.K.,Chandel,S.,Telang,S.,Ananda,A.M.,Mani,R.S.	2023
PP668226.1																	Asia			Bos taurus	Vinitha,V.,Raja,P.,Parthiban,M.,Sathish,G.,Parthiban,S.,Yamini,C.,Dhinakar Raj,G.,Pazhanivel,N.	2023
PP516876.1																	Asia			Homo sapiens	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Siddalingaiah,N.,Ananda,A.M.,Mani,R.S.	2023
PP516875.1																	Asia			Homo sapiens	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Siddalingaiah,N.,Ananda,A.M.,Mani,R.S.	2022
PP516872.1																	Asia			Homo sapiens	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Siddalingaiah,N.,Ananda,A.M.,Mani,R.S.	2022
PP516871.1																	Asia			Homo sapiens	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Siddalingaiah,N.,Ananda,A.M.,Mani,R.S.	2023
PP516870.1																	Asia			Homo sapiens	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Siddalingaiah,N.,Ananda,A.M.,Mani,R.S.	2023
PP516869.1																	Asia			Homo sapiens	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Siddalingaiah,N.,Ananda,A.M.,Mani,R.S.	2023
PP516868.1																	Asia			Homo sapiens	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Siddalingaiah,N.,Ananda,A.M.,Mani,R.S.	2023
PP516867.1																	Asia			Homo sapiens	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Siddalingaiah,N.,Ananda,A.M.,Mani,R.S.	2023
PP516866.1																	Asia			Homo sapiens	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Siddalingaiah,N.,Ananda,A.M.,Mani,R.S.	2023
PP516865.1																	Asia			Homo sapiens	Dhanya,K.K.,Varun,C.N.,Chandel,S.,Siddalingaiah,N.,Ananda,A.M.,Mani,R.S.	2023
PP498792.1																	Asia			Canis lupus familiaris	Chuapudee,D.,Aramrungroj,P.,Lukebua,A.,Primsirikunawut,A.,Kwanchum,K.,Sereewit,J.,Sobolik,E.B.,Roychoudhury,P.,Greninger,A.L.,Rojanawiwat,A.	2001
PP413619.1																	Asia			Homo sapiens	Vinitha,V.,Raja,P.,Parthiban,M.,Parthiban,S.,Sathish,G.,Yamini,C.,Rema,C.,Poovazhagi,V.,Srividhya,G.,Ramesh,S.,Seenivasan,S.,Dhinakar Raj,G.	2023
PP397166.1																	Asia			Homo sapiens	Jiang,M.F.	2020
PP068462.1																	Asia			Felis catus	Vinitha,V.,Raja,P.,Parthiban,M.,Pazhanivel,N.,Sathish,G.,Yamini,C.,Parthiban,S.,Dhinakar Raj,G.	2023
PP068461.1																	Asia			Canis lupus familiaris	Vinitha,V.,Raja,P.,Parthiban,M.,Pazhanivel,N.,Sathish,G.,Yamini,C.,Parthiban,S.,Dhinakar Raj,G.	2023
PP068460.1																	Asia			Canis lupus familiaris	Vinitha,V.,Raja,P.,Parthiban,M.,Pazhanivel,N.,Sathish,G.,Yamini,C.,Parthiban,S.,Dhinakar Raj,G.	2023
OR971675.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971674.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971673.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971672.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971671.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971670.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971669.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971668.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971667.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971666.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971665.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971664.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971663.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971662.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971661.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971660.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971659.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971658.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971657.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971656.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971655.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971654.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971653.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971652.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971651.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971650.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971649.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971648.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971647.1																	Asia			Felis catus	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971646.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971645.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971644.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971643.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971642.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971641.1																	Asia			Sus scrofa	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971640.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971639.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971638.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971637.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971636.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971635.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971634.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971633.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971632.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971631.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971630.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971629.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971628.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971627.1																	Asia			Felis catus	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971626.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971625.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971624.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971623.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971622.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971621.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971620.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971619.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971618.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971617.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971616.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971615.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971614.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971613.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971612.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971611.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971610.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971609.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971608.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971607.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971606.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971605.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971604.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971603.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971602.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971601.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971600.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971599.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971598.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971597.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971596.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971595.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971594.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971593.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971592.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971591.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971590.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971589.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971588.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971587.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971586.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971585.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971584.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971583.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	
OR971582.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	
OR971581.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	
OR971580.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	
OR971579.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	
OR971578.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	
OR971577.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971576.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971575.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971574.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971573.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971572.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971571.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2022
OR971570.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971569.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971568.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971567.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971566.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971565.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971564.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971563.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971562.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971561.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971560.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971559.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971558.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971557.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971556.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971555.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971554.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971553.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971552.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971551.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971550.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971549.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971548.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971547.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971546.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971545.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971544.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971543.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971542.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971541.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971540.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971539.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971538.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971537.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971536.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971535.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971534.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2019
OR971533.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971532.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971531.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971530.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971529.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971528.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971527.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971526.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971525.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971524.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971523.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971522.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971521.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971520.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971519.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971518.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
OR971517.1																	Asia			Canis lupus familiaris	Cruz,J.L.,Gonzales,R.M.C.,Azul,R.R.,Pena,R.C.D.	2021
